Time,FR_q0,FR_q1,FR_q2,FL_q0,FL_q1,FL_q2,RL_q0,RL_q1,RL_q2,RR_q0,RR_q1,RR_q2,FR_t0,FR_t1,FR_t2,FL_t0,FL_t1,FL_t2,RL_t0,RL_t1,RL_t2,RR_t0,RR_t1,RR_t2,foot_0,foot_1,foot_2,foot_3,FR,FL,RR,RL
0.583994,0.0562556,0.79418,-1.58238,-0.0535307,0.795815,-1.58622,-0.0506846,0.793998,-1.58808,0.0574062,0.800477,-1.58162,1.23438,0.320312,4.07812,-1.18359,0.34375,4.41406,-1.30859,0.441406,4.78516,1.21094,0.292969,4.15234,415,461,420,498,1,1,1,1
0.594198,0.0562556,0.79418,-1.58238,-0.0535307,0.795815,-1.58622,-0.0506846,0.793998,-1.58808,0.0574062,0.800477,-1.58162,1.23438,0.320312,4.07812,-1.18359,0.34375,4.41406,-1.30859,0.441406,4.78516,1.21094,0.292969,4.15234,415,461,420,498,1,1,1,1
0.604779,0.0562556,0.79418,-1.58238,-0.0535307,0.795815,-1.58622,-0.0506846,0.793998,-1.58808,0.0574062,0.800477,-1.58162,1.23438,0.320312,4.07812,-1.18359,0.34375,4.41406,-1.30859,0.441406,4.78516,1.21094,0.292969,4.15234,415,461,420,498,1,1,1,1
0.615205,0.0562556,0.79418,-1.58238,-0.0534701,0.795815,-1.58622,-0.050624,0.793937,-1.58808,0.0574062,0.800477,-1.58166,1.21094,0.367188,4.11719,-1.08594,0.394531,4.48828,-1.33203,0.394531,4.59766,1.23438,0.320312,4.26562,415,462,420,498,1,1,1,1
0.625346,0.0562556,0.79418,-1.58238,-0.0534701,0.795815,-1.58622,-0.050624,0.793937,-1.58808,0.0574062,0.800477,-1.58166,1.21094,0.367188,4.11719,-1.08594,0.394531,4.48828,-1.33203,0.394531,4.59766,1.23438,0.320312,4.26562,415,462,420,498,1,1,1,1
0.636006,0.0562556,0.79418,-1.58238,-0.0534701,0.795815,-1.58622,-0.050624,0.793937,-1.58808,0.0574062,0.800477,-1.58166,1.21094,0.367188,4.11719,-1.08594,0.394531,4.48828,-1.33203,0.394531,4.59766,1.23438,0.320312,4.26562,415,462,420,498,1,1,1,1
0.646788,0.0562556,0.79418,-1.58238,-0.0534701,0.795815,-1.58622,-0.050624,0.793937,-1.58808,0.0574062,0.800477,-1.58166,1.21094,0.367188,4.11719,-1.08594,0.394531,4.48828,-1.33203,0.394531,4.59766,1.23438,0.320312,4.26562,415,462,420,498,1,1,1,1
0.657246,0.0563162,0.79424,-1.58238,-0.0535307,0.795815,-1.58618,-0.050624,0.793937,-1.58808,0.0573456,0.800477,-1.58162,1.30859,0.320312,4.04297,-1.10938,0.367188,4.44922,-1.35938,0.394531,4.63672,1.18359,0.34375,4.19141,415,461,420,498,1,1,1,1
0.670775,0.0563162,0.79424,-1.58238,-0.0535307,0.795815,-1.58618,-0.050624,0.793937,-1.58808,0.0573456,0.800477,-1.58162,1.30859,0.320312,4.04297,-1.10938,0.367188,4.44922,-1.35938,0.394531,4.63672,1.18359,0.34375,4.19141,415,461,420,498,1,1,1,1
0.684105,0.0563162,0.79424,-1.58238,-0.0535307,0.795815,-1.58618,-0.050624,0.793937,-1.58808,0.0573456,0.800477,-1.58162,1.30859,0.320312,4.04297,-1.10938,0.367188,4.44922,-1.35938,0.394531,4.63672,1.18359,0.34375,4.19141,415,461,420,498,1,1,1,1
0.704104,0.0563162,0.79424,-1.58242,-0.0535307,0.795815,-1.58622,-0.050624,0.793937,-1.58808,0.0574062,0.800417,-1.58162,1.25781,0.320312,4.07812,-1.10938,0.417969,4.48828,-1.25781,0.417969,4.63672,1.21094,0.21875,4.30078,415,462,420,498,1,1,1,1
0.721119,0.0563162,0.79424,-1.58242,-0.0535307,0.795815,-1.58622,-0.050624,0.793937,-1.58808,0.0574062,0.800417,-1.58162,1.25781,0.320312,4.07812,-1.10938,0.417969,4.48828,-1.25781,0.417969,4.63672,1.21094,0.21875,4.30078,415,462,420,498,1,1,1,1
0.731326,0.0563162,0.79424,-1.58242,-0.0535307,0.795815,-1.58622,-0.050624,0.793937,-1.58808,0.0574062,0.800417,-1.58162,1.25781,0.320312,4.07812,-1.10938,0.417969,4.48828,-1.25781,0.417969,4.63672,1.21094,0.21875,4.30078,415,462,420,498,1,1,1,1
0.742059,0.0563162,0.79424,-1.58238,-0.0535307,0.795754,-1.58622,-0.050624,0.793877,-1.58804,0.0573456,0.800356,-1.5817,1.25781,0.292969,4.22656,-1.13672,0.292969,4.48828,-1.38281,0.441406,4.5625,1.21094,0.171875,4.44922,415,461,420,498,1,1,1,1
0.75248,0.0563162,0.79424,-1.58238,-0.0535307,0.795754,-1.58622,-0.050624,0.793877,-1.58804,0.0573456,0.800356,-1.5817,1.25781,0.292969,4.22656,-1.13672,0.292969,4.48828,-1.38281,0.441406,4.5625,1.21094,0.171875,4.44922,415,461,420,498,1,1,1,1
0.762934,0.0563162,0.79424,-1.58238,-0.0535307,0.795754,-1.58622,-0.050624,0.793877,-1.58804,0.0573456,0.800356,-1.5817,1.25781,0.292969,4.22656,-1.13672,0.292969,4.48828,-1.38281,0.441406,4.5625,1.21094,0.171875,4.44922,415,461,420,498,1,1,1,1
